"Model","Layer","Description","df_used","AIC","BIC","LogLik"
"A","1 (Unadjusted)","N-stage only",1,249.417620680967,251.544755066012,-123.708810340483
"B","1 (Unadjusted)","LNR linear",1,252.614142970209,254.741277355254,-125.307071485105
