"Layer","Model","C-statistic (95% CI)","ΔC (LNR - N-stage)"
"1 (Unadjusted)","A","0.4248 (0.3418–0.5078)",NA
"1 (Unadjusted)","B","0.4667 (0.3637–0.5698)",0.0419
